hotel_id,hotel_name,city,country,price_per_night,star_rating,features
H001,Skyfall Horizon,Lume’karr,Zenthari Realm,450,5,"Skyview rooms, Vegan dining, Anti-grav pool"
H002,Crystal Nest,Elython Verge,Veltherion Accord,320,4,"Crystal spa, Subterrain café, Dream pod beds"
H003,Pulse Residency,Ciryx-Tor,Veltherion Accord,500,5,"Quantum concierge, AI wellness, Meditation zones"
H004,Nebula Rest,Tyrax Null,Zenthari Realm,270,4,"Sun-shielded domes, Energy bar, Telepathic service"
H005,Velari Bloom,Neyvola,Myrron Union,380,4,"Floating suites, Ocean-view dining, Bioluminescent lounge"
H006,Stellar Haven,Orion's Edge,Myrron Union,600,5,"Zero-gravity gym, Holographic entertainment, Cosmic cuisine"
H007,Galactic Oasis,Thyra Plains,Veltherion Accord,410,4,"Starlit terraces, Holo-massage, Interstellar bar"
H008,Quantum Retreat,Seraphis Heights,Zenthari Realm,550,5,"Virtual reality spa, Celestial dining, Gravity-defying yoga"
H009,Astro Lodge,Veloria Bay,Myrron Union,290,3 ,"Beachfront views, Solar-powered amenities, Eco-friendly rooms"
H010,Zenith Point,Orion's Peak,Zenthari Realm,480,5,"Infinity pool, Rooftop observatory, Gourmet fusion restaurant"
H011,Starlight Suites,Veloria Bay,Myrron Union,360,4,"Oceanic spa, Star-gazing deck, Biophilic design"
H012,Comet's Rest,Thyra Plains,Veltherion Accord,400,4,"Meteor shower lounge, Celestial café, Holo-art gallery"
H013,Asteroid Haven,Ciryx-Tor,Zenthari Realm,330,3,"Lunar-themed rooms, Solar gardens, Eco-conscious amenities"
H014,Orbit Inn,Elython Verge,Myrron Union,250,3,"Stellar views, Solar-powered rooms, Eco-friendly dining"
H015,Gravity Lodge,Seraphis Heights,Veltherion Accord,370,4 ,"Anti-grav suites, Holo-gym, Cosmic café"
H016,Starfall Retreat,Neyvola,Zenthari Realm,520,5,"Lunar observatory, Celestial spa, Gourmet dining"
H017,Astro Haven,Orion's Edge,Veltherion Accord,290,3,"Stellar gardens, Solar-powered amenities, Eco-friendly rooms"
H018,Comet Cove,Veloria Bay,Zenthari Realm,310,3,"Beachfront views, Solar-powered amenities, Eco-friendly rooms"
H019,Galactic Gateway,Thyra Plains,Myrron Union,450,5,"Starlit observatory, Quantum dining, Holo-entertainment"
H020,Zenith Retreat,Ciryx-Tor,Zenthari Realm,400,4,"Lunar spa, Celestial dining, Holo-gym"
H021,Stellar Point,Orion's Peak,Veltherion Accord,480,5,"Infinity pool, Rooftop observatory, Gourmet fusion restaurant"
H022,Quantum Haven,Neyvola,Zenthari Realm,550,5,"Virtual reality spa, Celestial dining, Gravity-defying yoga"
H023,Astro Oasis,Seraphis Heights,Myrron Union,360,4,"Starlit terraces, Holo-massage, Interstellar bar"
